,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Rundu,-17.9333,19.7667,67.41,97,100,4.61,NA,1612056383
278,Jieshi,22.8134,115.8257,60.01,70,3,14.25,CN,1612056384
279,Lingao,19.9103,109.6859,67.44,82,0,14.76,CN,1612056384
280,Sept-Îles,50.2001,-66.3821,19.4,63,51,9.22,CA,1612056384
281,Nyrob,60.733,56.7202,16.03,96,100,9.66,RU,1612056384
282,Denpasar,-8.65,115.2167,84.2,79,40,12.66,ID,1612056158
283,Kiryas Joel,41.342,-74.1679,23.0,58,1,5.75,US,1612056384
284,Skjervøy,70.0311,20.9714,28.09,87,100,5.5,NO,1612056384
285,Alta Floresta,-9.8756,-56.0861,72.37,95,86,2.35,BR,1612055866
286,Havøysund,70.9963,24.6622,26.6,80,40,9.22,NO,1612056261
287,Port-Gentil,-0.7193,8.7815,77.68,82,100,8.41,GA,1612056235
288,Phichit,16.25,100.4167,75.0,59,43,2.44,TH,1612056384
289,Geraldton,-28.7667,114.6,96.8,23,0,17.27,AU,1612056066
290,Walvis Bay,-22.9575,14.5053,66.99,77,1,4.61,NA,1612056385
291,Weiden,49.6775,12.1567,28.0,86,100,1.01,DE,1612056385
292,Arlit,18.7369,7.3853,60.24,27,0,6.62,NE,1612056114
293,Saldanha,-33.0117,17.9442,63.63,92,0,1.63,ZA,1612055713
294,Travesía,15.8667,-87.9,78.8,78,40,8.05,HN,1612056385
295,Nakhon Phanom,17.3333,104.4167,68.0,83,2,5.03,TH,1612056385
296,Chalmette,29.9427,-89.9634,68.0,77,90,6.91,US,1612056385
297,Pandan,14.0453,124.1694,77.18,78,100,18.66,PH,1612056385
298,Bollnäs,61.3482,16.3946,5.0,57,12,1.99,SE,1612056385
299,Luganville,-15.5333,167.1667,84.78,64,72,8.3,VU,1612056385
300,Shebalino,51.2917,85.6772,14.85,87,0,4.59,RU,1612056385
301,Ilulissat,69.2167,-51.1,6.8,66,90,6.91,GL,1612055744
302,Padang,-0.9492,100.3543,77.65,75,98,3.78,ID,1612055571
303,Damaturu,11.747,11.9608,66.31,26,0,8.57,NG,1612056386
304,Rudnaya Pristan',44.3614,135.8116,1.98,81,0,12.71,RU,1612056386
305,Grand-Santi,4.25,-54.3833,73.89,97,97,3.11,GF,1612056386
306,Buraidah,26.326,43.975,50.0,66,0,5.75,SA,1612055613
307,Shubarkuduk,49.1447,56.4872,15.42,94,0,9.37,KZ,1612055994
308,Nizhniy Tsasuchey,50.5167,115.1333,-16.04,86,100,7.23,RU,1612056230
309,Ostrovnoy,68.0531,39.5131,14.54,95,100,7.47,RU,1612055804
310,Yulara,-25.2406,130.9889,89.6,20,40,17.27,AU,1612055788
311,Myaundzha,63.0494,147.1858,-23.49,79,100,4.18,RU,1612056386
312,Aripuanã,-9.1667,-60.6333,73.89,98,100,1.63,BR,1612055819
313,Fortuna,40.5982,-124.1573,53.01,87,90,21.85,US,1612055561
314,Placerville,38.7296,-120.7986,51.01,70,1,4.61,US,1612056387
315,Hambantota,6.1241,81.1185,75.2,100,20,9.22,LK,1612055812
316,Port Hardy,50.6996,-127.4199,46.4,76,90,19.57,CA,1612055802
317,Rocha,-34.4833,-54.3333,65.75,91,100,18.12,UY,1612055863
318,Camacha,33.0833,-16.3333,57.2,94,20,2.3,PT,1612056202
319,Épinal,48.1833,6.45,44.6,93,90,5.75,FR,1612056387
320,Iracoubo,5.4802,-53.2011,78.13,86,100,15.61,GF,1612056294
321,Maceió,-9.6658,-35.7353,75.2,94,75,2.3,BR,1612055631
322,Ucluelet,48.9329,-125.5528,45.0,93,90,18.41,CA,1612056335
323,Linda,39.1277,-121.5508,55.99,62,90,4.61,US,1612056387
324,Kigali,-1.95,30.0588,64.4,88,20,4.61,RW,1612056387
325,Mehrān,33.1222,46.1646,48.16,54,0,2.73,IR,1612056387
326,Kiryat Gat,31.61,34.7642,55.0,58,0,10.96,IL,1612056058
327,Tres Palos,18.1833,-101.6167,72.86,76,57,3.87,MX,1612056388
328,Richards Bay,-28.783,32.0377,73.69,95,88,4.23,ZA,1612055845
329,Khatanga,71.9667,102.5,-47.02,78,40,0.72,RU,1612055716
330,Shubarshi,48.5872,57.1869,14.23,93,0,7.61,KZ,1612056388
331,Acajutla,13.5928,-89.8275,80.6,54,20,5.79,SV,1612056156
332,Boende,-0.2167,20.8667,70.48,96,100,2.35,CD,1612056388
333,Ust-Nera,64.5667,143.2,-25.51,76,92,7.78,RU,1612056065
334,Lagoa,39.05,-27.9833,61.9,94,100,25.64,PT,1612055599
335,Hithadhoo,-0.6,73.0833,81.68,79,24,14.23,MV,1612056191
336,Khilchipur,24.0333,76.5667,50.67,42,0,3.87,IN,1612056389
337,Ilebo,-4.3167,20.5833,70.72,96,100,1.36,CD,1612056389
338,Cidreira,-30.1811,-50.2056,75.67,91,92,8.34,BR,1612055553
339,Ormara,25.2088,64.6357,67.84,69,0,11.05,PK,1612056390
340,Kieta,-6.2167,155.6333,84.02,72,100,16.44,PG,1612056095
341,Avera,33.194,-82.5271,46.4,49,40,5.75,US,1612056008
342,Naze,28.3667,129.4833,62.6,55,75,9.22,JP,1612056229
343,Broken Hill,-31.95,141.4333,80.6,32,48,14.97,AU,1612055802
344,Beïnamar,8.6698,15.3813,71.33,22,0,3.94,TD,1612056390
345,Port Hedland,-20.3167,118.5667,87.8,58,90,10.36,AU,1612055999
346,Altamira,-3.2033,-52.2064,72.93,97,37,2.89,BR,1612056102
347,Srīvardhan,18.0333,73.0167,73.04,45,0,5.48,IN,1612056390
348,Tandil,-37.3217,-59.1332,59.0,62,100,7.0,AR,1612056313
349,Brzeziny,51.8002,19.7514,24.01,80,75,5.75,PL,1612056390
350,Basna,21.2833,82.8167,50.38,39,0,2.77,IN,1612056390
351,Ambilobe,-13.2,49.05,72.61,93,0,2.53,MG,1612055799
352,Guerrero Negro,27.9769,-114.0611,60.84,65,100,15.99,MX,1612056183
353,Zhigansk,66.7697,123.3711,-48.64,74,59,3.69,RU,1612056391
354,Goya,-29.14,-59.2626,72.61,91,99,6.02,AR,1612055824
355,Kamenka,51.3223,42.7678,35.01,93,100,17.11,RU,1612056010
356,Vigeland,58.0844,7.305,32.0,85,0,5.75,NO,1612056391
357,Sobolevo,54.4299,31.8996,15.6,97,100,3.85,RU,1612055828
358,Kyzyl-Suu,42.3414,78.0056,21.27,66,67,10.54,KG,1612055606
359,Okha,53.5739,142.9478,-4.54,90,100,18.34,RU,1612056391
360,Katsuura,35.1333,140.3,48.99,39,20,8.05,JP,1612055823
361,Mandalgovi,45.7625,106.2708,5.56,79,91,21.9,MN,1612055825
362,Minolos,10.1019,123.4727,80.6,74,75,19.57,PH,1612056391
363,Rawson,-43.3002,-65.1023,60.69,59,6,16.87,AR,1612055843
364,Grand-Lahou,5.1367,-5.0242,79.25,88,13,9.53,CI,1612055806
365,Kinsale,51.7075,-8.5306,43.0,87,75,11.5,IE,1612056391
366,Fontem,5.4685,9.8818,66.92,62,0,1.9,CM,1612056392
367,Black Forest,39.0131,-104.7008,37.99,47,1,6.91,US,1612055646
368,Zinder,13.8072,8.9881,64.42,26,0,9.66,NE,1612056392
369,Dondo,-19.6094,34.7431,78.8,89,20,4.61,MZ,1612056392
370,Pedernales,18.0384,-71.744,76.08,67,18,1.88,DO,1612056392
371,Iaciara,-14.0958,-46.6317,78.26,55,100,3.8,BR,1612056392
372,Georgiyevka,43.0369,74.7114,28.4,59,0,6.71,KZ,1612056392
373,West Milford,41.1312,-74.3674,25.0,58,0,3.0,US,1612056392
374,Benguela,-12.5763,13.4055,76.68,75,100,2.73,AO,1612055825
375,Safi,32.2994,-9.2372,58.64,86,85,9.17,MA,1612056392
376,Mahabalipuram,12.6264,80.1722,71.6,100,20,7.02,IN,1612056392
377,Yiyang,28.5892,112.3283,48.31,84,94,1.77,CN,1612056392
378,Isla Vista,34.4133,-119.861,55.4,67,1,9.22,US,1612056393
379,Yinzhu,35.8786,119.9753,46.99,75,0,6.55,CN,1612056393
380,Moba,33.2288,105.0179,31.41,74,97,3.0,CN,1612056393
381,Vao,-22.6667,167.4833,75.83,79,100,22.26,NC,1612055819
382,South Kazakhstan Region,43.0,68.0,38.46,69,100,6.11,KZ,1612056393
383,Jamame,0.0722,42.7506,71.69,89,0,7.81,SO,1612056393
384,Tūkrah,32.5341,20.5791,58.89,83,0,11.68,LY,1612056393
385,Novikovo,51.1537,37.8879,35.28,97,100,21.39,RU,1612056393
386,Wagar,16.1525,36.2032,60.76,91,0,7.81,SD,1612055849
387,George Town,5.4112,100.3354,81.0,69,20,3.44,MY,1612056393
388,Castro Urdiales,43.3829,-3.2204,55.4,62,75,27.63,ES,1612056393
389,Nyandoma,61.669,40.1991,15.12,97,100,6.87,RU,1612056393
390,Muzhi,65.3667,64.6667,-15.79,89,100,3.22,RU,1612056394
391,Watertown,42.3709,-71.1828,17.01,48,1,14.97,US,1612056365
392,Lantawan,10.6167,123.9833,80.6,74,75,19.57,PH,1612056394
393,Fairbanks,64.8378,-147.7164,-2.2,77,90,1.07,US,1612055776
394,Tashtagol,52.7657,87.8894,1.06,92,39,3.0,RU,1612056394
395,Kimbe,-5.5502,150.1429,80.26,85,100,8.19,PG,1612056394
396,Sur,22.5667,59.5289,65.21,52,0,3.22,OM,1612055799
397,Kovūr,14.4833,79.9833,67.55,88,70,2.19,IN,1612056394
398,Dergachi,51.2328,48.7659,19.45,95,43,9.69,RU,1612056394
399,Rockport,28.0206,-97.0544,69.8,88,1,10.36,US,1612056395
400,Mahébourg,-20.4081,57.7,78.8,83,40,6.91,MU,1612056203
401,Santa Maria,-29.6842,-53.8069,69.8,100,90,6.91,BR,1612056265
402,Kisanga,-7.4362,37.7034,74.1,88,96,2.91,TZ,1612056395
403,South River,40.4465,-74.386,28.99,53,0,7.23,US,1612056395
404,Tiparak,8.0341,123.5288,82.06,68,87,2.04,PH,1612056395
405,Gayny,60.3071,54.3241,25.07,97,100,8.99,RU,1612056395
406,Kansk,56.2017,95.7175,-41.49,79,6,0.94,RU,1612056395
407,Touros,-5.1989,-35.4608,77.0,88,20,3.44,BR,1612055990
408,Asău,46.4333,26.4,34.0,80,90,16.11,RO,1612056274
409,Loa Janan,-0.583,117.095,77.88,87,100,4.23,ID,1612056395
410,Yar-Sale,66.8333,70.8333,-17.63,86,100,17.9,RU,1612055544
411,Fram,-26.9833,-55.8833,69.8,94,90,10.36,PY,1612056396
412,Bandarbeyla,9.4942,50.8122,73.8,72,100,15.79,SO,1612055541
413,Waipawa,-41.4122,175.5153,71.01,68,0,12.66,NZ,1612056189
414,Pontes e Lacerda,-15.2261,-59.3353,74.89,91,72,3.87,BR,1612056293
415,Ati,13.2154,18.3353,68.92,23,0,10.22,TD,1612056396
416,Grindavik,63.8424,-22.4338,19.4,73,0,6.91,IS,1612055536
417,São João da Barra,-21.6403,-41.0511,77.86,78,0,21.54,BR,1612056394
418,Kuliyapitiya,7.4688,80.0401,73.4,100,20,2.3,LK,1612056396
419,San Luis,-33.295,-66.3356,63.46,68,0,17.78,AR,1612056139
420,La Arena,-5.3466,-80.7109,81.01,52,14,17.27,PE,1612056396
421,Shurugwi,-19.6702,30.0059,63.55,100,100,2.62,ZW,1612056396
422,Hervey Bay,-25.2986,152.8535,87.01,51,0,14.97,AU,1612055872
423,Nome,64.5011,-165.4064,-5.8,71,1,5.75,US,1612055822
424,Riyadh,24.6877,46.7219,50.0,50,0,5.75,SA,1612055985
425,Baní,18.2833,-70.3333,73.0,99,61,16.51,DO,1612056397
426,Mackenzie,55.2999,-123.1698,12.2,85,90,3.44,CA,1612056397
427,Atocha,-20.9333,-66.2333,56.3,34,0,6.02,BO,1612056397
428,San Francisco del Mar Viejo,16.2333,-94.65,78.75,68,83,16.51,MX,1612056397
429,Kukuna,9.4,-12.6667,71.26,81,0,3.09,SL,1612056397
430,Carutapera,-1.195,-46.02,78.49,83,100,7.14,BR,1612055866
431,Champawat,29.3333,80.1,30.97,85,0,5.37,IN,1612056397
432,Ranong,9.9658,98.6348,75.2,94,20,2.3,TH,1612056398
433,Puerto Madryn,-42.7692,-65.0385,63.64,57,23,16.73,AR,1612056398
434,Bairiki Village,1.3292,172.9752,86.0,70,40,9.22,KI,1612055817
435,Departamento de Maldonado,-34.6667,-54.9167,68.0,77,75,19.57,UY,1612056398
436,Iranshahr,27.2025,60.6848,52.29,68,0,1.52,IR,1612056398
437,Zeya,53.75,127.2667,-27.58,83,100,1.63,RU,1612055597
438,Lindi,-10.0,39.7167,75.22,93,100,3.76,TZ,1612056398
439,Corrente,-3.7367,-43.3394,73.98,97,100,2.84,BR,1612056398
440,Khovd,48.0056,91.6419,6.8,82,3,1.45,MN,1612056339
441,Batemans Bay,-35.7167,150.1833,68.0,79,100,5.01,AU,1612056123
442,Oistins,13.0667,-59.5333,78.8,73,75,19.57,BB,1612056398
443,Raudeberg,61.9875,5.1352,32.0,93,100,8.63,NO,1612055998
444,Huilong,31.8111,121.655,54.0,70,100,1.01,CN,1612055613
445,Almaznyy,48.0448,40.045,33.8,100,40,15.66,RU,1612055857
446,Esperance,-33.8667,121.9,73.4,49,0,10.36,AU,1612056290
447,Rantauprapat,2.1,99.8333,74.55,88,94,2.66,ID,1612056276
448,Rumuruti,0.267,36.5389,53.55,84,30,6.51,KE,1612056399
449,Darhan,49.4867,105.9228,-1.68,88,100,9.08,MN,1612055848
450,Bilibino,68.0546,166.4372,-26.52,79,0,5.53,RU,1612055843
451,Andenes,69.3143,16.1194,25.0,73,100,3.44,NO,1612056399
452,Pimentel,-6.8367,-79.9342,75.2,64,0,13.8,PE,1612055845
453,Inhambane,-23.865,35.3833,78.12,80,0,5.64,MZ,1612056399
454,Östersund,63.1792,14.6357,1.4,92,90,2.26,SE,1612056399
455,Numan,9.4667,12.0333,73.85,21,0,4.61,NG,1612056400
456,Yarmouth,41.7057,-70.2286,21.99,49,1,4.61,US,1612056400
457,Hinganghāt,20.5667,78.8333,55.4,44,0,2.3,IN,1612056265
458,Zhireken,52.8249,117.3076,-27.24,83,10,1.66,RU,1612056400
459,Evensk,61.95,159.2333,1.45,86,100,23.22,RU,1612056400
460,Maumere,-8.6199,122.2111,81.84,77,100,8.93,ID,1612055870
461,Pacific Grove,36.6177,-121.9166,55.4,67,1,4.61,US,1612055645
462,Chimoio,-19.1164,33.4833,71.6,100,75,5.75,MZ,1612056400
463,Buluang,13.3068,123.3425,78.22,72,100,6.91,PH,1612056400
464,Dīglūr,18.55,77.6,64.54,77,5,2.93,IN,1612056400
465,Ifakara,-8.1333,36.6833,71.31,90,93,1.57,TZ,1612056401
466,Adjumani,3.3779,31.7909,75.07,29,21,2.53,UG,1612056401
467,Eureka,40.8021,-124.1637,53.01,87,90,6.91,US,1612055766
468,Houston,29.7633,-95.3633,71.6,83,90,6.91,US,1612055975
469,Haimen,23.1935,116.6142,57.2,77,0,2.24,CN,1612056401
470,Chiredzi,-21.05,31.6667,72.1,93,99,5.46,ZW,1612056401
471,Yurga,55.7231,84.8861,-21.41,83,41,6.51,RU,1612056401
472,Barcelos,41.5388,-8.6151,53.6,94,75,5.75,PT,1612056291
473,Province of Mantua,45.1667,10.7833,41.0,100,90,4.61,IT,1612056401
474,Jiangyou,31.7667,104.7167,46.26,56,86,2.73,CN,1612056401
475,Barra de Tecoanapa,16.5167,-98.75,78.8,76,100,6.06,MX,1612056401
476,Chimbote,-9.0853,-78.5783,70.57,77,96,7.38,PE,1612056262
477,Meulaboh,4.1363,96.1285,75.97,83,58,4.41,ID,1612055822
478,Mwene-Ditu,-7.0,23.45,65.95,93,100,2.37,CD,1612056402
479,Nova Olinda do Norte,-3.8881,-59.0942,76.6,84,37,1.66,BR,1612056402
480,Wattegama,6.7989,81.4808,75.2,100,20,9.22,LK,1612055819
481,Qasigiannguit,68.8193,-51.1922,6.8,66,90,6.91,GL,1612056007
482,Ola,59.5833,151.2833,-13.29,81,62,16.24,RU,1612056021
483,Lorengau,-2.0226,147.2712,82.87,81,100,11.12,PG,1612056179
484,Bud,39.447,-86.1758,32.0,97,100,14.94,US,1612056402
485,Vila Franca do Campo,37.7167,-25.4333,62.6,88,75,16.11,PT,1612055820
486,Swan River,52.1058,-101.2676,15.8,92,100,2.84,CA,1612055838
487,Serabu,7.7958,-12.0536,75.6,86,0,0.87,SL,1612056402
488,Marystown,47.1666,-55.1483,30.04,94,100,8.7,CA,1612055998
489,Mizdah,31.4451,12.9801,55.13,38,0,10.42,LY,1612056130
490,Aksarka,66.5606,67.7975,-16.6,88,100,10.09,RU,1612055871
491,Talaya,61.3833,152.75,-29.16,80,100,9.46,RU,1612056403
492,Udachny,66.4167,112.4,-31.18,81,100,9.66,RU,1612055844
493,Austin,30.2672,-97.7431,69.8,46,1,6.46,US,1612056311
494,Fallon,39.4735,-118.7774,42.8,65,40,5.75,US,1612056403
495,Saint Paul Harbor,57.79,-152.4072,32.0,55,1,19.57,US,1612056403
496,Ouadda,8.0777,22.4007,70.34,22,42,7.34,CF,1612055994
497,Comodoro Rivadavia,-45.8667,-67.5,57.2,62,0,6.91,AR,1612055840
498,Esmeraldas,-19.7625,-44.3139,78.8,64,0,6.91,BR,1612055843
499,Itoman,26.1247,127.6694,66.2,52,20,11.5,JP,1612056022
500,Great Yarmouth,52.6083,1.7305,39.0,75,0,8.05,GB,1612055614
501,Carballo,43.213,-8.691,51.01,92,100,1.01,ES,1612056197
502,Palauig,15.435,119.9045,75.43,56,100,6.11,PH,1612056404
503,Arrondissement de Bourges,47.25,2.4167,46.99,100,90,6.91,FR,1612056404
504,Mahon,39.8885,4.2658,48.2,93,20,5.75,ES,1612056395
505,Mukhen,48.1,136.1,-10.5,84,25,8.48,RU,1612056404
506,Standerton,-26.9337,29.2415,62.01,99,90,3.22,ZA,1612056242
507,Farrukhnagar,17.0778,78.2011,69.01,94,20,5.75,IN,1612056131
508,Levelland,33.5873,-102.378,54.0,35,1,6.91,US,1612056404
509,Mitsamiouli,-11.3847,43.2844,81.79,78,92,10.51,KM,1612055766
510,Cravo Norte,6.3017,-70.2041,83.25,47,62,6.26,CO,1612056404
511,Forsytheganj,52.6333,29.7333,23.07,98,100,7.4,BY,1612056404
512,Tres Arroyos,-38.3739,-60.2798,52.41,77,0,6.89,AR,1612056404
513,Rayong,12.8333,101.4333,81.0,87,0,3.74,TH,1612056405
514,Kamiiso,41.8167,140.65,23.0,86,75,13.8,JP,1612056405
515,Chernyshevskiy,63.0128,112.4714,-29.02,86,100,4.72,RU,1612056006
516,Tumba,59.1986,17.8332,15.01,92,90,6.91,SE,1612055820
517,Mossamedes,-15.1961,12.1522,72.97,75,95,5.7,AO,1612055820
518,Tual,-5.6667,132.75,83.61,75,79,14.63,ID,1612056072
519,Burley,42.5357,-113.7928,35.6,64,1,6.58,US,1612056316
520,Nizwá,22.9333,57.5333,56.12,59,0,2.42,OM,1612055740
521,Honolulu,21.3069,-157.8583,82.4,47,40,13.8,US,1612056212
522,Liwale,-9.7667,37.9333,71.26,97,100,6.58,TZ,1612056405
523,Pangnirtung,66.1451,-65.7125,-8.93,74,23,2.57,CA,1612055749
524,Wairoa,-39.0333,177.3667,64.99,74,90,8.01,NZ,1612056405
525,Chokwé,-24.5333,32.9833,76.68,88,0,4.23,MZ,1612056192
526,College,64.8569,-147.8028,-4.0,77,90,1.14,US,1612055766
527,Bontang,0.1333,117.5,77.79,86,100,8.34,ID,1612056022
528,Pula,44.8683,13.8481,50.0,93,90,9.22,HR,1612056373
529,Conceição do Araguaia,-8.2578,-49.2647,74.03,91,100,3.04,BR,1612056406
530,Keelung,25.1283,121.7419,69.8,68,20,3.44,TW,1612056406
531,Nelson Bay,-32.7167,152.15,80.6,74,40,17.27,AU,1612055948
532,Kulhudhuffushi,6.6221,73.07,81.66,65,23,5.86,MV,1612056406
533,Norman Wells,65.282,-126.8329,-31.0,75,75,3.31,CA,1612056406
534,Son La,21.3167,103.9,57.47,92,91,2.73,VN,1612056406
535,Tiznit Province,29.5833,-9.5,56.35,84,85,2.26,MA,1612056406
536,Grand Gaube,-20.0064,57.6608,75.99,85,4,3.0,MU,1612055818
537,Tateyama,34.9833,139.8667,50.0,57,20,5.75,JP,1612056407
538,Namie,37.4833,141.0,39.99,43,5,1.99,JP,1612056407
539,Karlskoga,59.3267,14.5239,19.0,85,0,4.61,SE,1612056407
540,Gibgos,13.859,123.7675,76.37,81,100,16.49,PH,1612056407
541,Vestmannaeyjar,63.4427,-20.2734,31.35,94,100,9.4,IS,1612056010
542,Alihe,50.5667,123.7167,-16.56,84,100,0.31,CN,1612056407
543,Plainview,40.7765,-73.4673,28.99,40,1,4.61,US,1612056407
544,Ixtlán de los Hervores,20.1833,-102.4,66.72,30,0,2.89,MX,1612056407
545,Havelock,34.8791,-76.9013,36.0,75,1,8.05,US,1612055767
546,Santa Helena de Goiás,-17.8136,-50.5969,73.63,79,82,4.25,BR,1612056407
547,Fuxin,42.0156,121.6589,12.58,90,100,4.5,CN,1612056407
548,Dongning,44.0622,131.1207,-3.14,81,0,1.12,CN,1612056408
549,Warri,5.5167,5.75,78.48,86,0,1.43,NG,1612056408
550,Tazovsky,67.4667,78.7,-25.19,84,100,16.62,RU,1612055824
551,Kuytun,54.3419,101.5036,-33.97,81,49,7.87,RU,1612055999
552,Shelburne,44.0787,-80.2041,10.99,82,100,3.36,CA,1612055717
553,Derzhavīnsk,51.1,66.3167,18.0,93,100,4.76,KZ,1612056408
